Table 1
Plot_ID,Genotype,Bloc,Location,GPS1,GPS2,Year,protein,tgw,kph,plot_length,plot_width,moisture,plot_yld,ave_moist,yld_ton_ha,str_height,screenings,septoria1,heading1,lodging1,mildew1,hagberg,ripen1,node_brek1,vigour,sprout_fld,lodging2,fusarium1,emergence,mildew2,yelow_rst1,septoria2,shedding,fusar_lab,septoria3,heading2,fusarium2,sprout_lab,yellowblot,green_leaf,water_abso,plant_coun,takeall,mnivale,germin,flowerdate,fusar_fld,ripen2,node_brek2,yelow_rst2,flowering,growthstge,brown_rst1,bydv,sprout_fl2,,,,,
60,CORE,2,Foggia,"41,459,932","15,501,357",2019,,49.6,85.4,,,10.0,5.21,,5.28,80,,0,,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
124,CORE,3,Foggia,"41,459,932","15,501,357",2019,,50.0,84.7,,,9.6,5.39,,5.49,80,,0,,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
31,CORE,1,Battipaglia (SA),"40,577,094","14,983,657",2019,,59.8,83.5,,,12.7,5.58,,5.33,92,,0,,1,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
80,CORE,2,Battipaglia (SA),"40,577,094","14,983,657",2019,,58.0,84.4,,,12.4,5.12,,5.16,93,,0,,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
140,CORE,3,Battipaglia (SA),"40,577,094","14,983,657",2019,,59.4,83.3,,,12.6,5.97,,5.71,95,,0,,1,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
28,CORE,1,Foggia,"41,459,932","15,501,357",2018,,44.5,75.5,,,13.9,3.50,,3.40,70,,0,,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
55,CORE,2,Foggia,"41,459,932","15,501,357",2018,,47.3,76.8,,,13.2,3.94,,3.85,75,,0,,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
145,CORE,3,Foggia,"41,459,932","15,501,357",2018,,41.0,77.5,,,12.8,3.90,,3.83,70,,0,,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
42,CORE,1,Libertinia (CT),"37,530,590","14,576,432",2018,,38.0,82.2,,,8.4,1.45,,1.73,52,,0,,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
98,CORE,2,Libertinia (CT),"37,530,590","14,576,432",2018,,38.4,81.7,,,8.8,1.81,,2.02,55,,0,,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
111,CORE,3,Libertinia (CT),"37,530,590","14,576,432",2018,,39.0,83.0,,,8.8,1.86,,2.14,58,,0,,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
11,CORE,1,Arezzo,"43,316,126","11,819,875",2019,,48.3,81.1,,,10.1,4.81,,4.93,90,,3,,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
63,CORE,2,Arezzo,"43,316,126","11,819,875",2019,,45.6,82.6,,,9.7,6.85,,7.05,95,,2,,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
99,CORE,3,Arezzo,"43,316,126","11,819,875",2019,,42.0,81.3,,,9.7,6.14,,6.32,94,,1,,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
2,CORE,1,Sant'Angelo Lodigiano (LO),"45,244,642","9,385,814",2018,,,64.7,,,12.6,2.90,,2.80,75,,3,,0,0,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
71,CORE,2,Sant'Angelo Lodigiano (LO),"45,244,642","9,385,814",2018,,,69.1,,,12.4,2.57,,2.54,75,,7,,0,0,,,,,,,3,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
148,CORE,3,Sant'Angelo Lodigiano (LO),"45,244,642","9,385,814",2018,,,63.4,,,15.0,3.19,,3.06,75,,8,,0,0,,,,,,,2,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
21,GREGORIO,1,"La Rancia, Tolentino MC","43,244,488","13,414,334",2018,,47.2,76.2,,,12.3,3.72,,4.11,80,,0,,0,6,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
58,GREGORIO,2,"La Rancia, Tolentino MC","43,244,488","13,414,334",2018,,43.6,77.3,,,12.1,4.61,,4.87,81,,0,,5,6,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
134,GREGORIO,3,"La Rancia, Tolentino MC","43,244,488","13,414,334",2018,,42.4,75.5,,,11.8,4.49,,4.99,80,,0,,8,5,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
7,GREGORIO,1,Arezzo,"43,316,126","11,819,875",2018,,51.5,78.1,,,11.3,5.07,,5.63,94,,3,,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
79,GREGORIO,2,Arezzo,"43,316,126","11,819,875",2018,,50.0,77.8,,,11.1,4.41,,4.68,90,,4,,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
136,GREGORIO,3,Arezzo,"43,316,126","11,819,875",2018,,50.2,76.6,,,11.3,4.15,,4.40,87,,3,,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
46,GREGORIO,1,Battipaglia (SA),"40,577,094","14,983,657",2018,,51.4,77.1,,,10.1,5.82,,5.72,95,,0,,0,0,,,,,,,7,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
84,GREGORIO,2,Battipaglia (SA),"40,577,094","14,983,657",2018,,49.4,78.0,,,9.9,6.39,,6.30,100,,0,,0,0,,,,,,,7,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
140,GREGORIO,3,Battipaglia (SA),"40,577,094","14,983,657",2018,,46.3,77.6,,,10.2,5.96,,5.86,100,,0,,0,0,,,,,,,7,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
46,GREGORIO,1,"La Rancia, Tolentino MC","43,244,488","13,414,334",2019,,51.3,82.3,,,10.0,5.64,,6.19,84,,0,,0,0,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
85,GREGORIO,2,"La Rancia, Tolentino MC","43,244,488","13,414,334",2019,,46.0,81.4,,,10.0,5.45,,5.98,85,,0,,0,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
140,GREGORIO,3,"La Rancia, Tolentino MC","43,244,488","13,414,334",2019,,50.0,82.4,,,10.1,5.81,,6.00,85,,0,,0,0,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
16,GREGORIO,1,Foggia,"41,459,932","15,501,357",2019,,48.0,83.9,,,9.7,5.19,,5.28,80,,0,,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
66,GREGORIO,2,Foggia,"41,459,932","15,501,357",2019,,48.4,83.9,,,9.8,5.46,,5.55,75,,0,,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
121,GREGORIO,3,Foggia,"41,459,932","15,501,357",2019,,45.7,84.4,,,9.7,5.76,,5.86,80,,0,,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
33,GREGORIO,1,Battipaglia (SA),"40,577,094","14,983,657",2019,,56.8,82.0,,,11.3,7.73,,7.88,91,,0,,1,0,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
64,GREGORIO,2,Battipaglia (SA),"40,577,094","14,983,657",2019,,60.4,83.1,,,12.0,8.34,,8.03,88,,0,,0,0,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
112,GREGORIO,3,Battipaglia (SA),"40,577,094","14,983,657",2019,,58.4,82.1,,,12.3,6.44,,7.21,91,,0,,2,0,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
25,GREGORIO,1,Foggia,"41,459,932","15,501,357",2018,,44.2,76.8,,,13.1,3.70,,3.62,75,,0,,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
103,GREGORIO,2,Foggia,"41,459,932","15,501,357",2018,,46.9,78.0,,,13.0,4.34,,4.25,70,,0,,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
130,GREGORIO,3,Foggia,"41,459,932","15,501,357",2018,,42.8,77.5,,,12.9,4.08,,4.00,70,,0,,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
37,GREGORIO,1,Libertinia (CT),"37,530,590","14,576,432",2018,,34.5,77.5,,,8.5,1.80,,2.05,53,,0,,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
71,GREGORIO,2,Libertinia (CT),"37,530,590","14,576,432",2018,,33.1,80.7,,,8.7,1.99,,2.16,55,,0,,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
154,GREGORIO,3,Libertinia (CT),"37,530,590","14,576,432",2018,,37.6,79.6,,,9.1,2.03,,2.20,53,,0,,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
44,GREGORIO,1,Arezzo,"43,316,126","11,819,875",2019,,48.0,79.2,,,9.8,5.37,,5.52,90,,6,,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
84,GREGORIO,2,Arezzo,"43,316,126","11,819,875",2019,,46.6,80.7,,,10.2,6.12,,6.27,88,,5,,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
107,GREGORIO,3,Arezzo,"43,316,126","11,819,875",2019,,51.6,80.9,,,9.6,6.55,,6.75,88,,5,,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
52,GREGORIO,1,Sant'Angelo Lodigiano (LO),"45,244,642","9,385,814",2018,,,67.6,,,12.3,3.56,,3.59,73,,8,,0,0,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
88,GREGORIO,2,Sant'Angelo Lodigiano (LO),"45,244,642","9,385,814",2018,,,61.3,,,11.5,2.87,,2.72,74,,8,,0,0,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
152,GREGORIO,3,Sant'Angelo Lodigiano (LO),"45,244,642","9,385,814",2018,,,63.7,,,14.0,3.00,,2.97,70,,7,,0,0,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
47,SHEREKHAN,1,"La Rancia, Tolentino MC","43,244,488","13,414,334",2018,,37.0,80.0,,,12.4,5.11,,5.63,81,,0,,9,5,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
66,SHEREKHAN,2,"La Rancia, Tolentino MC","43,244,488","13,414,334",2018,,40.4,80.8,,,12.1,5.40,,5.97,83,,0,,9,5,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
114,SHEREKHAN,3,"La Rancia, Tolentino MC","43,244,488","13,414,334",2018,,35.0,77.9,,,11.9,5.37,,5.86,83,,2,,9,5,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
43,SHEREKHAN,1,Arezzo,"43,316,126","11,819,875",2018,,41.0,81.6,,,10.8,5.84,,6.22,95,,2,,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
72,SHEREKHAN,2,Arezzo,"43,316,126","11,819,875",2018,,38.5,80.8,,,10.8,5.22,,5.56,95,,2,,2,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
138,SHEREKHAN,3,Arezzo,"43,316,126","11,819,875",2018,,44.0,82.5,,,11.1,5.09,,5.41,91,,2,,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
39,SHEREKHAN,1,Battipaglia (SA),"40,577,094","14,983,657",2018,,35.6,79.1,,,10.2,5.58,,5.49,101,,0,,0,0,,,,,,,7,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
90,SHEREKHAN,2,Battipaglia (SA),"40,577,094","14,983,657",2018,,36.2,79.6,,,11.4,5.69,,5.52,103,,0,,0,0,,,,,,,7,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
107,SHEREKHAN,3,Battipaglia (SA),"40,577,094","14,983,657",2018,,28.8,79.9,,,11.5,5.98,,5.79,104,,0,,0,0,,,,,,,7,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
42,SHEREKHAN,1,"La Rancia, Tolentino MC","43,244,488","13,414,334",2019,,49.0,82.8,,,10.3,5.50,,5.93,83,,0,,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
94,SHEREKHAN,2,"La Rancia, Tolentino MC","43,244,488","13,414,334",2019,,46.6,82.4,,,10.2,5.52,,6.04,81,,0,,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
129,SHEREKHAN,3,"La Rancia, Tolentino MC","43,244,488","13,414,334",2019,,51.5,82.7,,,10.2,5.27,,5.77,80,,0,,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
5,SHEREKHAN,1,Foggia,"41,459,932","15,501,357",2019,,46.4,82.9,,,9.7,4.99,,5.08,70,,0,,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
55,SHEREKHAN,2,Foggia,"41,459,932","15,501,357",2019,,46.6,84.2,,,9.6,4.63,,4.72,75,,0,,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
114,SHEREKHAN,3,Foggia,"41,459,932","15,501,357",2019,,49.7,85.0,,,9.5,5.44,,5.55,80,,0,,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
7,SHEREKHAN,1,Battipaglia (SA),"40,577,094","14,983,657",2019,,55.8,77.7,,,12.3,6.66,,7.46,93,,0,,3,0,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
86,SHEREKHAN,2,Battipaglia (SA),"40,577,094","14,983,657",2019,,58.8,80.5,,,12.5,5.60,,6.63,93,,0,,4,0,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
100,SHEREKHAN,3,Battipaglia (SA),"40,577,094","14,983,657",2019,,56.8,79.2,,,11.9,6.36,,7.15,95,,0,,3,0,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
36,SHEREKHAN,1,Foggia,"41,459,932","15,501,357",2018,,28.8,80.8,,,13.1,4.62,,4.52,70,,0,,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
90,SHEREKHAN,2,Foggia,"41,459,932","15,501,357",2018,,32.2,78.6,,,13.1,3.90,,3.82,70,,0,,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
108,SHEREKHAN,3,Foggia,"41,459,932","15,501,357",2018,,31.6,79.2,,,13.1,3.90,,3.82,65,,0,,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
7,SHEREKHAN,1,Libertinia (CT),"37,530,590","14,576,432",2018,,29.1,82.1,,,8.8,1.88,,2.04,49,,0,,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
79,SHEREKHAN,2,Libertinia (CT),"37,530,590","14,576,432",2018,,29.0,82.7,,,8.9,2.28,,2.44,62,,0,,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
148,SHEREKHAN,3,Libertinia (CT),"37,530,590","14,576,432",2018,,30.3,82.3,,,8.8,2.26,,2.42,68,,0,,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
130,SHEREKHAN,3,Arezzo,"43,316,126","11,819,875",2019,,47.4,82.7,,,9.8,6.42,,6.60,84,,2,,0,0,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
55,SHEREKHAN,2,Arezzo,"43,316,126","11,819,875",2019,,52.8,80.9,,,10.2,4.45,,4.56,87,,1,,0,0,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
38,SHEREKHAN,1,Arezzo,"43,316,126","11,819,875",2019,,47.2,81.1,,,9.8,6.05,,6.22,81,,2,,0,0,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
50,SHEREKHAN,1,Sant'Angelo Lodigiano (LO),"45,244,642","9,385,814",2018,,,69.2,,,13.1,3.83,,3.83,77,,8,,0,0,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
72,SHEREKHAN,2,Sant'Angelo Lodigiano (LO),"45,244,642","9,385,814",2018,,,73.9,,,12.2,3.70,,3.66,81,,8,,0,0,,,,,,,2,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
132,SHEREKHAN,3,Sant'Angelo Lodigiano (LO),"45,244,642","9,385,814",2018,,,65.4,,,15.7,3.77,,3.63,70,,7,,0,0,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
7,SHAZAM,1,"La Rancia, Tolentino MC","43,244,488","13,414,334",2018,,44.6,78.8,,,12.0,4.30,,4.61,78,,0,,5,7,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
55,SHAZAM,2,"La Rancia, Tolentino MC","43,244,488","13,414,334",2018,,42.1,78.6,,,12.0,4.91,,5.27,84,,3,,8,6,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
140,SHAZAM,3,"La Rancia, Tolentino MC","43,244,488","13,414,334",2018,,37.4,78.3,,,11.4,4.59,,5.12,85,,0,,8,5,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
2,SHAZAM,1,Arezzo,"43,316,126","11,819,875",2018,,45.0,79.2,,,10.9,4.04,,4.30,97,,2,,2,5,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
59,SHAZAM,2,Arezzo,"43,316,126","11,819,875",2018,,46.0,79.7,,,10.8,4.91,,5.23,92,,6,,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
127,SHAZAM,3,Arezzo,"43,316,126","11,819,875",2018,,48.0,79.4,,,11.1,3.51,,3.73,100,,2,,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
42,SHAZAM,1,Battipaglia (SA),"40,577,094","14,983,657",2018,,39.0,78.4,,,9.5,5.50,,5.45,95,,0,,0,0,,,,,,,7,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
82,SHAZAM,2,Battipaglia (SA),"40,577,094","14,983,657",2018,,43.4,78.1,,,10.7,6.09,,5.95,97,,0,,0,0,,,,,,,7,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
118,SHAZAM,3,Battipaglia (SA),"40,577,094","14,983,657",2018,,40.5,78.4,,,11.6,5.97,,5.78,100,,0,,0,0,,,,,,,7,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
23,SHAZAM,1,"La Rancia, Tolentino MC","43,244,488","13,414,334",2019,,48.4,83.6,,,10.1,6.49,,7.00,89,,0,,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
58,SHAZAM,2,"La Rancia, Tolentino MC","43,244,488","13,414,334",2019,,49.0,82.8,,,10.0,5.80,,6.46,79,,0,,0,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
115,SHAZAM,3,"La Rancia, Tolentino MC","43,244,488","13,414,334",2019,,46.2,82.9,,,9.9,5.90,,6.49,87,,0,,0,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
4,SHAZAM,1,Foggia,"41,459,932","15,501,357",2019,,42.7,84.9,,,9.8,5.95,,6.05,75,,0,,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
90,SHAZAM,2,Foggia,"41,459,932","15,501,357",2019,,46.5,85.4,,,9.8,6.52,,6.63,80,,0,,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
118,SHAZAM,3,Foggia,"41,459,932","15,501,357",2019,,41.9,85.7,,,9.6,5.66,,5.77,80,,0,,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
9,SHAZAM,1,Battipaglia (SA),"40,577,094","14,983,657",2019,,52.4,81.3,,,11.9,5.57,,6.27,88,,0,,2,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
49,SHAZAM,2,Battipaglia (SA),"40,577,094","14,983,657",2019,,57.4,84.0,,,12.3,6.83,,6.56,91,,0,,1,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
138,SHAZAM,3,Battipaglia (SA),"40,577,094","14,983,657",2019,,56.0,83.8,,,12.0,6.97,,6.72,89,,0,,1,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
17,SHAZAM,1,Foggia,"41,459,932","15,501,357",2018,,42.9,78.1,,,13.6,3.66,,3.56,70,,0,,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
106,SHAZAM,2,Foggia,"41,459,932","15,501,357",2018,,39.9,79.6,,,13.7,4.22,,4.10,70,,0,,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
151,SHAZAM,3,Foggia,"41,459,932","15,501,357",2018,,40.2,78.2,,,13.3,4.04,,3.95,65,,0,,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
16,SHAZAM,1,Libertinia (CT),"37,530,590","14,576,432",2018,,32.3,80.3,,,9.0,2.23,,2.39,50,,0,,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
80,SHAZAM,2,Libertinia (CT),"37,530,590","14,576,432",2018,,32.3,81.7,,,8.7,2.27,,2.43,49,,0,,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
112,SHAZAM,3,Libertinia (CT),"37,530,590","14,576,432",2018,,36.3,83.6,,,8.5,2.25,,2.45,57,,0,,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
62,SHAZAM,2,Arezzo,"43,316,126","11,819,875",2019,,44.7,83.1,,,9.8,7.85,,8.07,88,,0,,0,3,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
27,SHAZAM,1,Arezzo,"43,316,126","11,819,875",2019,,54.4,80.1,,,10.1,6.29,,6.45,80,,0,,0,3,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
104,SHAZAM,3,Arezzo,"43,316,126","11,819,875",2019,,58.2,81.7,,,10.1,6.34,,6.50,89,,0,,0,1,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
48,SHAZAM,1,Sant'Angelo Lodigiano (LO),"45,244,642","9,385,814",2018,,,70.2,,,12.3,3.00,,3.09,73,,8,,0,0,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
60,SHAZAM,2,Sant'Angelo Lodigiano (LO),"45,244,642","9,385,814",2018,,,68.4,,,11.6,3.67,,3.75,78,,7,,0,0,,,,,,,3,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
109,SHAZAM,3,Sant'Angelo Lodigiano (LO),"45,244,642","9,385,814",2018,,,65.1,,,15.6,3.96,,3.82,71,,5,,0,0,,,,,,,1,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
